lon,lat,LCOE,max_elc,demand,co2,region,up_id,down_id,right_id,left_id,right_distance,left_distance,up_distance,down_distance,site_id,co2_cost
-114,66,0.03943652110091743,31767387.648000002,20.76542625,0.0,R76,R77,R75,R87,R65,136.2012022570748,136.2012022570748,334.5859304616568,334.45461121896113,R76,50
-114,69,0.035067405494505495,29635161.2778,171.8810964,0.0,R77,R78,R76,R88,R66,120.01874256123294,120.01874256123294,334.70424431105016,334.5859304616568,R77,50
-114,72,0.03639201772151899,25491899.3697,0.0,0.0,R78,R79,R77,R89,R67,103.5020151220522,103.5020151220522,334.80823238428104,334.70424431105016,R78,50
-114,75,0.035005473333333335,15560346.7262,0.0,0.0,R79,R80,R78,R90,R68,86.69677647368049,86.69677647368049,334.8967322749505,334.80823238428104,R79,50
-114,78,0.027350072413793104,12295096.4562,0.0,0.0,R80,R-999,R79,R91,R69,69.64969359892991,69.64969359892991,,334.8967322749505,R80,50
-111,48,0.03230797027027027,13309237.4498,0.0,0.0,R81,R82,R-999,R92,R70,223.86193577281125,223.86193577281125,333.65812705441493,,R81,50
-111,51,0.033507873184357544,58811023.7689,46307.84442,2195530.0,R82,R83,R81,R93,R71,210.57850274610283,210.57850274610283,333.8303058578461,333.65812705441493,R82,50
-111,54,0.04417108385093168,43841175.162,0.0,31780.0,R83,R84,R82,R94,R72,196.71261177762548,196.71261177762548,333.9978578481248,333.8303058578461,R83,50
-111,57,0.05961863972602739,29269020.9049,0.0,0.0,R84,R85,R83,R95,R73,182.3019064120754,182.3019064120754,334.15893324043475,333.9978578481248,R84,50
-111,60,0.05333811384615385,28800484.0559,0.0,0.0,R85,R86,R84,R96,R74,167.3856623320569,167.3856623320569,334.3117494138862,334.15893324043475,R85,50
-111,63,0.043217742148760334,32551479.6166,2243.609918,0.0,R86,R87,R85,R97,R75,152.00468545469397,152.00468545469397,334.45461121896113,334.3117494138862,R86,50
-111,66,0.03479937830188679,35585005.5993,0.0,0.0,R87,R88,R86,R98,R76,136.2012022570748,136.2012022570748,334.5859304616568,334.45461121896113,R87,50
-111,69,0.032712650537634405,33071478.4403,0.0,0.0,R88,R89,R87,R99,R77,120.01874256123294,120.01874256123294,334.70424431105016,334.5859304616568,R88,50
-111,72,0.03487005,23565878.297,0.0,0.0,R89,R90,R88,R100,R78,103.5020151220522,103.5020151220522,334.80823238428104,334.70424431105016,R89,50
-111,75,0.029907951282051284,15376920.2347,0.0,0.0,R90,R91,R89,R101,R79,86.69677647368049,86.69677647368049,334.8967322749505,334.80823238428104,R90,50
