lon,lat,LCOE,max_elc,demand,co2,region,up_id,down_id,right_id,left_id,right_distance,left_distance,up_distance,down_distance,site_id,co2_cost
-116,72,0.03725637222222222,11340648.5083,0.0,0.0,R152,R153,R151,R168,R136,69.00530460362802,69.00530460362802,223.1948679987519,223.14862712587222,R152,50
-116,74,0.038445044444444444,5472660.3026,0.0,0.0,R153,R154,R152,R169,R137,61.55542041326323,61.55542041326323,223.23657025855397,223.1948679987519,R153,50
-116,76,0.03592663793103448,9833037.114,0.0,0.0,R154,R155,R153,R170,R138,54.02920089858536,54.02920089858536,223.27352640192612,223.23657025855397,R154,50
-116,78,0.0241875,4832761.1609,1.132659614,0.0,R155,R-999,R154,R171,R139,46.43594864692515,46.43594864692515,,223.27352640192612,R155,50
-114,48,0.06564595000000001,951138.11245,0.0,0.0,R156,R157,R-999,R172,R140,149.24652220724263,149.24652220724263,222.41944619445798,,R156,50
-114,50,0.04190645180722891,22238747.0176,2497.514448,512540.0,R157,R158,R156,R173,R141,143.38723501906847,143.38723501906847,222.49650832626847,222.41944619445798,R157,50
-114,52,0.04269772278481013,19340980.9093,0.0,3621520.0,R158,R159,R157,R174,R142,137.35170172372824,137.35170172372824,222.57247839153493,222.49650832626847,R158,50
-114,54,0.03914653414634146,18786563.9997,0.0,4346110.0,R159,R160,R158,R175,R143,131.1471893179299,131.1471893179299,222.64698405518604,222.57247839153493,R159,50
-114,56,0.05884945735294117,13375754.5259,0.0,15680.0,R160,R161,R159,R176,R144,124.78118858724983,124.78118858724983,222.71965954517623,222.64698405518604,R160,50
-114,58,0.067014240625,10942117.259,11245.23342,0.0,R161,R162,R160,R177,R145,118.26140575278208,118.26140575278208,222.79014748819745,222.71965954517623,R161,50
-114,60,0.05888004385964912,11383268.2908,0.0,0.0,R162,R163,R161,R178,R146,111.59575365062906,111.59575365062906,222.85810071473813,222.79014748819745,R162,50
-114,62,0.04132605,16676827.6206,0.0,0.0,R163,R164,R162,R179,R147,104.79234244804817,104.79234244804817,222.92318402342943,222.85810071473813,R163,50
-114,64,0.04448800392156863,13391065.368,0.0,0.0,R164,R165,R163,R180,R148,97.85946990297386,97.85946990297386,222.98507589467928,222.92318402342943,R164,50
-114,66,0.04156575416666667,13549701.0076,0.0,0.0,R165,R166,R164,R181,R149,90.80561117659744,90.80561117659744,223.04347014369785,222.98507589467928,R165,50
-114,68,0.03506628181818182,14619371.5453,0.0,0.0,R166,R167,R165,R182,R150,83.63940821168518,83.63940821168518,223.09807750313698,223.04347014369785,R166,50
-114,70,0.036007951428571425,11300323.9622,0.0,0.0,R167,R168,R166,R183,R151,76.36965869230866,76.36965869230866,223.14862712587222,223.09807750313698,R167,50
-114,72,0.03723043421052632,12040725.0255,0.0,0.0,R168,R169,R167,R184,R152,69.00530460362802,69.00530460362802,223.1948679987519,223.14862712587222,R168,50
-114,74,0.03848104375,4960967.1686,0.0,0.0,R169,R170,R168,R185,R153,61.55542041326323,61.55542041326323,223.23657025855397,223.1948679987519,R169,50
-114,76,0.032468135714285716,10384537.7316,0.0,0.0,R170,R171,R169,R186,R154,54.02920089858536,54.02920089858536,223.27352640192612,223.23657025855397,R170,50
-114,78,0.027124592857142856,5979970.8443,0.0,0.0,R171,R-999,R170,R187,R155,46.43594864692515,46.43594864692515,,223.27352640192612,R171,50
-112,48,0.03051218,1900286.8309,0.0,0.0,R172,R173,R-999,R188,R156,149.24652220724263,149.24652220724263,222.41944619445798,,R172,50
-112,50,0.03452894683544304,26719362.3584,0.0,0.0,R173,R174,R172,R189,R157,143.38723501906847,143.38723501906847,222.49650832626847,222.41944619445798,R173,50
-112,52,0.036075958666666665,24326556.3244,0.0,0.0,R174,R175,R173,R190,R158,137.35170172372824,137.35170172372824,222.57247839153493,222.49650832626847,R174,50
-112,54,0.03986890135135135,20873582.3538,166814.5211,165070.0,R175,R176,R174,R191,R159,131.1471893179299,131.1471893179299,222.64698405518604,222.57247839153493,R175,50
-112,56,0.06015053846153846,12836488.0714,0.0,0.0,R176,R177,R175,R192,R160,124.78118858724983,124.78118858724983,222.71965954517623,222.64698405518604,R176,50
-112,58,0.0606851359375,12738859.6095,0.0,0.0,R177,R178,R176,R193,R161,118.26140575278208,118.26140575278208,222.79014748819745,222.71965954517623,R177,50
-112,60,0.05763655084745763,12026937.1128,0.0,0.0,R178,R179,R177,R194,R162,111.59575365062906,111.59575365062906,222.85810071473813,222.79014748819745,R178,50
-112,62,0.04732945555555555,13362223.7614,0.0,0.0,R179,R180,R178,R195,R163,104.79234244804817,104.79234244804817,222.92318402342943,222.85810071473813,R179,50
-112,64,0.037963909803921565,15003929.2778,20.76542625,0.0,R180,R181,R179,R196,R164,97.85946990297386,97.85946990297386,222.98507589467928,222.92318402342943,R180,50
-112,66,0.037066527083333335,15110651.4498,0.0,0.0,R181,R182,R180,R197,R165,90.80561117659744,90.80561117659744,223.04347014369785,222.98507589467928,R181,50
-112,68,0.03214741395348837,15571969.2752,0.0,0.0,R182,R183,R181,R198,R166,83.63940821168518,83.63940821168518,223.09807750313698,223.04347014369785,R182,50
-112,70,0.03438098048780488,13863559.1215,0.0,0.0,R183,R184,R182,R199,R167,76.36965869230866,76.36965869230866,223.14862712587222,223.09807750313698,R183,50
