lon,lat,LCOE,max_elec
-125.928479,49.959864,0.0738218,156695.3798
-125.7862742,49.80460481,0.0656702,176145.6475
-125.6451383,49.64922631,0.0646299,178981.1154
-125.5050609,49.49373187,0.0599357,192998.9841
-125.3660313,49.33812485,0.1199901,96404.0808
-125.2280393,49.18240856,0.0747934,154659.7303
-125.0910744,49.02658629,0.0921187,125572.0732
-124.9551265,48.87066127,0.0668355,173074.6133
-124.8201856,48.71463674,0.0768251,150569.7428
-124.6862417,48.55851587,0.0482284,239849.0163
-141.1333433,61.48357708,0.0771879,149862.0278
-140.8640278,61.35114251,0.0654692,176686.6634
-140.5970423,61.21817736,0.0606464,190737.3676
-140.3323661,61.08468946,0.0579495,199614.0729
-140.0699784,60.95068654,0.0414821,278856.0277
-139.8098584,60.81617626,0.0357593,323482.9893
-139.5519855,60.68116621,0.0356047,324887.607
-139.296339,60.54566386,0.0414976,278751.9052
-139.0428984,60.40967664,0.0377035,306802.0434
-138.7916432,60.27321189,0.0368462,313940.7424
-138.542553,60.13627685,0.0361927,319609.2551
-138.2956074,59.99887871,0.0369367,313171.7881
-138.0507863,59.86102456,0.0421671,274326.0725
-137.8080695,59.72272143,0.0412901,280152.3655
-137.567437,59.58397627,0.0421777,274257.0565
-137.3288688,59.44479594,0.0377654,306299.491
-137.0923451,59.30518724,0.0319397,362167.3411
-136.8578462,59.16515689,0.0416008,278060.4513
-130.6719964,54.7986859,0.0378135,305910.0045
-130.4912198,54.64854725,0.033318,347185.033
-130.3119101,54.4981672,0.0429008,269634.3732
-130.1340523,54.34755042,0.0450889,256549.2002
-129.9576316,54.19670154,0.0446801,258896.798
-129.7826334,54.04562513,0.0419144,275979.7303
-129.6090431,53.89432573,0.0373493,309711.4736
-129.4368464,53.74280781,0.0451968,255936.9185
-129.266029,53.5910758,0.0436622,264932.4061
-129.0965769,53.43913409,0.0414564,279028.8766
-128.9284761,53.28698701,0.0405532,285243.0723
-128.7617129,53.13463885,0.0509667,226962.3276
-128.5962737,52.98209385,0.051957,222636.5893
-128.4321448,52.82935622,0.0534091,216583.5943
-128.269313,52.67643011,0.0545995,211861.2462
-128.1077652,52.52331964,0.0660112,175235.8099
-127.9474881,52.37002886,0.061465,188196.8633
-127.7884689,52.2165618,0.0564082,205068.052
-127.6306948,52.06292246,0.0615963,187795.7295
-127.4741532,51.90911476,0.0556572,207835.357
-127.3188316,51.75514261,0.0667414,173318.5323
-127.1647175,51.60100986,0.0497652,232441.8456
-127.0117987,51.44672034,0.051605,224155.1861
-126.8600632,51.29227783,0.0459785,251585.6668
